"CubeId";"rendoblid"
"PublishingDate";"2020-11-02 14:30"

"Date";"D0";"Value"
"2020-09-30";"1J";"-0.705"
"2020-09-30";"2J";"-0.807"
"2020-09-30";"3J";"-0.829"
"2020-09-30";"4J";"-0.789"
"2020-09-30";"5J";"-0.727"
"2020-09-30";"6J";"-0.665"
"2020-09-30";"7J";"-0.611"
"2020-09-30";"8J";"-0.566"
"2020-09-30";"9J";"-0.53"
"2020-09-30";"10J0";"-0.5"
"2020-09-30";"15J";"-0.408"
"2020-09-30";"20J";"-0.362"
"2020-09-30";"30J";"-0.315"
"2020-10-01";"1J";"-0.71"
"2020-10-01";"2J";"-0.792"
"2020-10-01";"3J";"-0.808"
"2020-10-01";"4J";"-0.77"
"2020-10-01";"5J";"-0.712"
"2020-10-01";"6J";"-0.653"
"2020-10-01";"7J";"-0.601"
"2020-10-01";"8J";"-0.556"
"2020-10-01";"9J";"-0.52"
"2020-10-01";"10J0";"-0.489"
"2020-10-01";"15J";"-0.396"
"2020-10-01";"20J";"-0.349"
"2020-10-01";"30J";"-0.302"
"2020-10-02";"1J";"-0.712"
"2020-10-02";"2J";"-0.794"
"2020-10-02";"3J";"-0.811"
"2020-10-02";"4J";"-0.776"
"2020-10-02";"5J";"-0.721"
"2020-10-02";"6J";"-0.664"
"2020-10-02";"7J";"-0.614"
"2020-10-02";"8J";"-0.57"
"2020-10-02";"9J";"-0.534"
"2020-10-02";"10J0";"-0.504"
"2020-10-02";"15J";"-0.41"
"2020-10-02";"20J";"-0.363"
"2020-10-02";"30J";"-0.316"
"2020-10-05";"1J";"-0.72"
"2020-10-05";"2J";"-0.82"
"2020-10-05";"3J";"-0.838"
"2020-10-05";"4J";"-0.797"
"2020-10-05";"5J";"-0.734"
"2020-10-05";"6J";"-0.672"
"2020-10-05";"7J";"-0.617"
"2020-10-05";"8J";"-0.571"
"2020-10-05";"9J";"-0.532"
"2020-10-05";"10J0";"-0.501"
"2020-10-05";"15J";"-0.403"
"2020-10-05";"20J";"-0.354"
"2020-10-05";"30J";"-0.305"
"2020-10-06";"1J";"-0.712"
"2020-10-06";"2J";"-0.802"
"2020-10-06";"3J";"-0.819"
"2020-10-06";"4J";"-0.78"
"2020-10-06";"5J";"-0.72"
"2020-10-06";"6J";"-0.659"
"2020-10-06";"7J";"-0.604"
"2020-10-06";"8J";"-0.558"
"2020-10-06";"9J";"-0.52"
"2020-10-06";"10J0";"-0.488"
"2020-10-06";"15J";"-0.391"
"2020-10-06";"20J";"-0.341"
"2020-10-06";"30J";"-0.292"
"2020-10-07";"1J";"-0.714"
"2020-10-07";"2J";"-0.807"
"2020-10-07";"3J";"-0.82"
"2020-10-07";"4J";"-0.779"
"2020-10-07";"5J";"-0.72"
"2020-10-07";"6J";"-0.66"
"2020-10-07";"7J";"-0.606"
"2020-10-07";"8J";"-0.561"
"2020-10-07";"9J";"-0.522"
"2020-10-07";"10J0";"-0.491"
"2020-10-07";"15J";"-0.392"
"2020-10-07";"20J";"-0.341"
"2020-10-07";"30J";"-0.291"
"2020-10-08";"1J";"-0.702"
"2020-10-08";"2J";"-0.79"
"2020-10-08";"3J";"-0.812"
"2020-10-08";"4J";"-0.775"
"2020-10-08";"5J";"-0.715"
"2020-10-08";"6J";"-0.653"
"2020-10-08";"7J";"-0.597"
"2020-10-08";"8J";"-0.549"
"2020-10-08";"9J";"-0.509"
"2020-10-08";"10J0";"-0.476"
"2020-10-08";"15J";"-0.375"
"2020-10-08";"20J";"-0.324"
"2020-10-08";"30J";"-0.273"
"2020-10-09";"1J";"-0.703"
"2020-10-09";"2J";"-0.79"
"2020-10-09";"3J";"-0.813"
"2020-10-09";"4J";"-0.781"
"2020-10-09";"5J";"-0.726"
"2020-10-09";"6J";"-0.667"
"2020-10-09";"7J";"-0.613"
"2020-10-09";"8J";"-0.567"
"2020-10-09";"9J";"-0.528"
"2020-10-09";"10J0";"-0.495"
"2020-10-09";"15J";"-0.393"
"2020-10-09";"20J";"-0.341"
"2020-10-09";"30J";"-0.29"
"2020-10-12";"1J";"-0.708"
"2020-10-12";"2J";"-0.803"
"2020-10-12";"3J";"-0.824"
"2020-10-12";"4J";"-0.785"
"2020-10-12";"5J";"-0.724"
"2020-10-12";"6J";"-0.662"
"2020-10-12";"7J";"-0.606"
"2020-10-12";"8J";"-0.558"
"2020-10-12";"9J";"-0.519"
"2020-10-12";"10J0";"-0.487"
"2020-10-12";"15J";"-0.386"
"2020-10-12";"20J";"-0.336"
"2020-10-12";"30J";"-0.285"
"2020-10-13";"1J";"-0.706"
"2020-10-13";"2J";"-0.799"
"2020-10-13";"3J";"-0.82"
"2020-10-13";"4J";"-0.782"
"2020-10-13";"5J";"-0.722"
"2020-10-13";"6J";"-0.661"
"2020-10-13";"7J";"-0.606"
"2020-10-13";"8J";"-0.559"
"2020-10-13";"9J";"-0.52"
"2020-10-13";"10J0";"-0.488"
"2020-10-13";"15J";"-0.388"
"2020-10-13";"20J";"-0.337"
"2020-10-13";"30J";"-0.286"
"2020-10-14";"1J";"-0.705"
"2020-10-14";"2J";"-0.8"
"2020-10-14";"3J";"-0.826"
"2020-10-14";"4J";"-0.791"
"2020-10-14";"5J";"-0.731"
"2020-10-14";"6J";"-0.668"
"2020-10-14";"7J";"-0.611"
"2020-10-14";"8J";"-0.563"
"2020-10-14";"9J";"-0.522"
"2020-10-14";"10J0";"-0.488"
"2020-10-14";"15J";"-0.383"
"2020-10-14";"20J";"-0.33"
"2020-10-14";"30J";"-0.277"
"2020-10-15";"1J";"-0.707"
"2020-10-15";"2J";"-0.799"
"2020-10-15";"3J";"-0.83"
"2020-10-15";"4J";"-0.803"
"2020-10-15";"5J";"-0.751"
"2020-10-15";"6J";"-0.693"
"2020-10-15";"7J";"-0.64"
"2020-10-15";"8J";"-0.593"
"2020-10-15";"9J";"-0.554"
"2020-10-15";"10J0";"-0.521"
"2020-10-15";"15J";"-0.418"
"2020-10-15";"20J";"-0.366"
"2020-10-15";"30J";"-0.314"
"2020-10-16";"1J";"-0.712"
"2020-10-16";"2J";"-0.804"
"2020-10-16";"3J";"-0.833"
"2020-10-16";"4J";"-0.806"
"2020-10-16";"5J";"-0.754"
"2020-10-16";"6J";"-0.697"
"2020-10-16";"7J";"-0.644"
"2020-10-16";"8J";"-0.598"
"2020-10-16";"9J";"-0.56"
"2020-10-16";"10J0";"-0.528"
"2020-10-16";"15J";"-0.428"
"2020-10-16";"20J";"-0.377"
"2020-10-16";"30J";"-0.326"
"2020-10-19";"1J";"-0.722"
"2020-10-19";"2J";"-0.819"
"2020-10-19";"3J";"-0.841"
"2020-10-19";"4J";"-0.807"
"2020-10-19";"5J";"-0.75"
"2020-10-19";"6J";"-0.691"
"2020-10-19";"7J";"-0.638"
"2020-10-19";"8J";"-0.592"
"2020-10-19";"9J";"-0.555"
"2020-10-19";"10J0";"-0.523"
"2020-10-19";"15J";"-0.426"
"2020-10-19";"20J";"-0.376"
"2020-10-19";"30J";"-0.327"
"2020-10-20";"1J";"-0.715"
"2020-10-20";"2J";"-0.814"
"2020-10-20";"3J";"-0.846"
"2020-10-20";"4J";"-0.817"
"2020-10-20";"5J";"-0.761"
"2020-10-20";"6J";"-0.701"
"2020-10-20";"7J";"-0.645"
"2020-10-20";"8J";"-0.597"
"2020-10-20";"9J";"-0.557"
"2020-10-20";"10J0";"-0.524"
"2020-10-20";"15J";"-0.42"
"2020-10-20";"20J";"-0.368"
"2020-10-20";"30J";"-0.316"
"2020-10-21";"1J";"-0.716"
"2020-10-21";"2J";"-0.813"
"2020-10-21";"3J";"-0.838"
"2020-10-21";"4J";"-0.801"
"2020-10-21";"5J";"-0.74"
"2020-10-21";"6J";"-0.675"
"2020-10-21";"7J";"-0.616"
"2020-10-21";"8J";"-0.567"
"2020-10-21";"9J";"-0.525"
"2020-10-21";"10J0";"-0.491"
"2020-10-21";"15J";"-0.384"
"2020-10-21";"20J";"-0.331"
"2020-10-21";"30J";"-0.277"
"2020-10-22";"1J";"-0.717"
"2020-10-22";"2J";"-0.811"
"2020-10-22";"3J";"-0.834"
"2020-10-22";"4J";"-0.797"
"2020-10-22";"5J";"-0.737"
"2020-10-22";"6J";"-0.674"
"2020-10-22";"7J";"-0.617"
"2020-10-22";"8J";"-0.569"
"2020-10-22";"9J";"-0.529"
"2020-10-22";"10J0";"-0.496"
"2020-10-22";"15J";"-0.395"
"2020-10-22";"20J";"-0.344"
"2020-10-22";"30J";"-0.293"
"2020-10-23";"1J";"-0.72"
"2020-10-23";"2J";"-0.81"
"2020-10-23";"3J";"-0.83"
"2020-10-23";"4J";"-0.791"
"2020-10-23";"5J";"-0.729"
"2020-10-23";"6J";"-0.666"
"2020-10-23";"7J";"-0.609"
"2020-10-23";"8J";"-0.561"
"2020-10-23";"9J";"-0.521"
"2020-10-23";"10J0";"-0.489"
"2020-10-23";"15J";"-0.387"
"2020-10-23";"20J";"-0.336"
"2020-10-23";"30J";"-0.285"
"2020-10-26";"1J";"-0.722"
"2020-10-26";"2J";"-0.815"
"2020-10-26";"3J";"-0.833"
"2020-10-26";"4J";"-0.795"
"2020-10-26";"5J";"-0.736"
"2020-10-26";"6J";"-0.676"
"2020-10-26";"7J";"-0.621"
"2020-10-26";"8J";"-0.575"
"2020-10-26";"9J";"-0.537"
"2020-10-26";"10J0";"-0.505"
"2020-10-26";"15J";"-0.405"
"2020-10-26";"20J";"-0.355"
"2020-10-26";"30J";"-0.304"
"2020-10-27";"1J";"-0.734"
"2020-10-27";"2J";"-0.83"
"2020-10-27";"3J";"-0.841"
"2020-10-27";"4J";"-0.794"
"2020-10-27";"5J";"-0.729"
"2020-10-27";"6J";"-0.665"
"2020-10-27";"7J";"-0.61"
"2020-10-27";"8J";"-0.564"
"2020-10-27";"9J";"-0.525"
"2020-10-27";"10J0";"-0.494"
"2020-10-27";"15J";"-0.397"
"2020-10-27";"20J";"-0.348"
"2020-10-27";"30J";"-0.3"
"2020-10-28";"1J";"-0.723"
"2020-10-28";"2J";"-0.82"
"2020-10-28";"3J";"-0.844"
"2020-10-28";"4J";"-0.81"
"2020-10-28";"5J";"-0.754"
"2020-10-28";"6J";"-0.696"
"2020-10-28";"7J";"-0.644"
"2020-10-28";"8J";"-0.6"
"2020-10-28";"9J";"-0.563"
"2020-10-28";"10J0";"-0.533"
"2020-10-28";"15J";"-0.44"
"2020-10-28";"20J";"-0.393"
"2020-10-28";"30J";"-0.346"
"2020-10-29";"1J";"-0.73"
"2020-10-29";"2J";"-0.812"
"2020-10-29";"3J";"-0.827"
"2020-10-29";"4J";"-0.792"
"2020-10-29";"5J";"-0.738"
"2020-10-29";"6J";"-0.682"
"2020-10-29";"7J";"-0.631"
"2020-10-29";"8J";"-0.588"
"2020-10-29";"9J";"-0.551"
"2020-10-29";"10J0";"-0.521"
"2020-10-29";"15J";"-0.425"
"2020-10-29";"20J";"-0.376"
"2020-10-29";"30J";"-0.328"
"2020-10-30";"1J";"-0.721"
"2020-10-30";"2J";"-0.802"
"2020-10-30";"3J";"-0.822"
"2020-10-30";"4J";"-0.79"
"2020-10-30";"5J";"-0.736"
"2020-10-30";"6J";"-0.68"
"2020-10-30";"7J";"-0.629"
"2020-10-30";"8J";"-0.585"
"2020-10-30";"9J";"-0.548"
"2020-10-30";"10J0";"-0.518"
"2020-10-30";"15J";"-0.423"
"2020-10-30";"20J";"-0.376"
"2020-10-30";"30J";"-0.328"
